municipio_cod,municipio_fato,data_fato,ano,tentado_consumado,qtde_vitimas,feriado
315680,SABINOPOLIS,2018-10-01,2018,CONSUMADO,1,False
317020,UBERLANDIA,2018-10-02,2018,CONSUMADO,1,False
310620,BELO HORIZONTE,2018-10-03,2018,TENTADO,1,False
310400,ARAXA,2018-10-03,2018,CONSUMADO,2,False
314930,PEDRO LEOPOLDO,2018-10-04,2018,CONSUMADO,1,False
314430,NANUQUE,2018-10-05,2018,TENTADO,1,False
313170,ITABIRA,2018-10-06,2018,TENTADO,1,False
310620,BELO HORIZONTE,2018-10-06,2018,CONSUMADO,1,False
314675,PALMOPOLIS,2018-10-07,2018,TENTADO,1,False
310340,ARACUAI,2018-10-08,2018,TENTADO,1,False
314330,MONTES CLAROS,2018-10-08,2018,TENTADO,1,False
315780,SANTA LUZIA,2018-10-08,2018,TENTADO,1,False
310375,ARAPORA,2018-10-09,2018,TENTADO,1,False
313670,JUIZ DE FORA,2018-10-11,2018,TENTADO,1,False
314470,NOVA ERA,2018-10-11,2018,TENTADO,1,False
316680,SERRA DO SALITRE,2018-10-11,2018,TENTADO,1,False
311860,CONTAGEM,2018-10-12,2018,CONSUMADO,3,True
315280,PRATA,2018-10-13,2018,TENTADO,1,False
310620,BELO HORIZONTE,2018-10-14,2018,TENTADO,1,False
313940,MANHUACU,2018-10-14,2018,CONSUMADO,1,False
315460,RIBEIRAO DAS NEVES,2018-10-15,2018,TENTADO,1,False
317020,UBERLANDIA,2018-10-16,2018,TENTADO,1,False
313670,JUIZ DE FORA,2018-10-16,2018,CONSUMADO,1,False
314480,NOVA LIMA,2018-10-18,2018,TENTADO,1,False
317020,UBERLANDIA,2018-10-20,2018,TENTADO,1,False
316210,SAO GOTARDO,2018-10-20,2018,CONSUMADO,1,False
310900,BRUMADINHO,2018-10-21,2018,CONSUMADO,1,False
313770,LAJINHA,2018-10-23,2018,CONSUMADO,1,False
310500,BALDIM,2018-10-24,2018,TENTADO,1,False
314860,PECANHA,2018-10-25,2018,TENTADO,1,False
310620,BELO HORIZONTE,2018-10-26,2018,TENTADO,1,False
314790,PASSOS,2018-10-27,2018,TENTADO,1,False
311430,CARMO DO PARANAIBA,2018-10-27,2018,CONSUMADO,1,False
313900,MACHADO,2018-10-28,2018,TENTADO,1,False
313550,JEQUERI,2018-10-29,2018,TENTADO,1,False
310670,BETIM,2018-10-29,2018,CONSUMADO,1,False
314530,NOVO CRUZEIRO,2018-10-29,2018,CONSUMADO,1,False
311860,CONTAGEM,2018-10-30,2018,TENTADO,1,False
313300,ITAMONTE,2018-10-30,2018,CONSUMADO,1,False
310560,BARBACENA,2018-10-31,2018,TENTADO,1,False
313380,ITAUNA,2018-11-01,2018,CONSUMADO,1,False
316990,UBA,2018-11-01,2018,CONSUMADO,1,False
317010,UBERABA,2018-11-02,2018,TENTADO,1,True
313620,JOAO MONLEVADE,2018-11-06,2018,TENTADO,1,False
314390,MURIAE,2018-11-06,2018,CONSUMADO,1,False
314150,MENDES PIMENTEL,2018-11-07,2018,CONSUMADO,1,False
314330,MONTES CLAROS,2018-11-07,2018,CONSUMADO,2,False
316740,SILVIANOPOLIS,2018-11-09,2018,CONSUMADO,4,False
315460,RIBEIRAO DAS NEVES,2018-11-10,2018,CONSUMADO,1,False
312580,FERNANDES TOURINHO,2018-11-11,2018,TENTADO,1,False
312770,GOVERNADOR VALADARES,2018-11-11,2018,TENTADO,1,False
310620,BELO HORIZONTE,2018-11-12,2018,TENTADO,1,False
314120,MATUTINA,2018-11-12,2018,TENTADO,1,False
310620,BELO HORIZONTE,2018-11-12,2018,CONSUMADO,1,False
316070,SANTOS DUMONT,2018-11-13,2018,CONSUMADO,1,False
311020,CAJURI,2018-11-15,2018,TENTADO,1,True
313250,ITAMARANDIBA,2018-11-16,2018,TENTADO,1,False
314560,OLIVEIRA,2018-11-16,2018,TENTADO,1,False
314520,NOVA SERRANA,2018-11-17,2018,TENTADO,1,False
317020,UBERLANDIA,2018-11-17,2018,TENTADO,2,False
310350,ARAGUARI,2018-11-17,2018,CONSUMADO,2,False
311860,CONTAGEM,2018-11-17,2018,CONSUMADO,1,False
310620,BELO HORIZONTE,2018-11-18,2018,TENTADO,1,False
313920,MALACACHETA,2018-11-20,2018,TENTADO,1,False
315150,PIUMHI,2018-11-20,2018,TENTADO,1,False
313920,MALACACHETA,2018-11-20,2018,CONSUMADO,1,False
310670,BETIM,2018-11-22,2018,TENTADO,1,False
310670,BETIM,2018-11-24,2018,TENTADO,1,False
313650,JORDANIA,2018-11-24,2018,CONSUMADO,1,False
314330,MONTES CLAROS,2018-11-25,2018,TENTADO,2,False
316470,SAO SEBASTIAO PARAISO,2018-11-27,2018,TENTADO,1,False
313860,LIMA DUARTE,2018-11-28,2018,CONSUMADO,2,False
315700,SALINAS,2018-11-28,2018,CONSUMADO,1,False
315400,RAUL SOARES,2018-11-29,2018,TENTADO,1,False
311860,CONTAGEM,2018-11-30,2018,TENTADO,1,False
313440,ITURAMA,2018-11-30,2018,TENTADO,1,False
312230,DIVINOPOLIS,2018-11-30,2018,CONSUMADO,1,False
313330,ITAOBIM,2018-12-02,2018,TENTADO,1,False
313180,ITABIRINHA,2018-12-02,2018,CONSUMADO,1,False
317070,VARGINHA,2018-12-03,2018,TENTADO,1,False
316720,SETE LAGOAS,2018-12-04,2018,CONSUMADO,1,False
316720,SETE LAGOAS,2018-12-05,2018,CONSUMADO,1,False
310620,BELO HORIZONTE,2018-12-08,2018,TENTADO,1,False
313880,LUZ,2018-12-09,2018,TENTADO,1,False
317020,UBERLANDIA,2018-12-13,2018,TENTADO,1,False
312100,DATAS,2018-12-13,2018,CONSUMADO,1,False
310730,BOCAIUVA,2018-12-14,2018,CONSUMADO,1,False
313460,JABOTICATUBAS,2018-12-14,2018,CONSUMADO,1,False
312200,DIVINO,2018-12-16,2018,TENTADO,1,False
314700,PARACATU,2018-12-16,2018,TENTADO,1,False
312200,DIVINO,2018-12-17,2018,TENTADO,1,False
314330,MONTES CLAROS,2018-12-17,2018,TENTADO,1,False
313925,MAMONAS,2018-12-18,2018,TENTADO,1,False
316680,SERRA DO SALITRE,2018-12-18,2018,CONSUMADO,1,False
316840,TARUMIRIM,2018-12-19,2018,TENTADO,1,False
313180,ITABIRINHA,2018-12-21,2018,CONSUMADO,1,False
317020,UBERLANDIA,2018-12-21,2018,CONSUMADO,1,False
312900,GUIRICEMA,2018-12-24,2018,TENTADO,1,False
311420,CARMO DO CAJURU,2018-12-25,2018,TENTADO,1,True
311430,CARMO DO PARANAIBA,2018-12-25,2018,TENTADO,1,True
313010,IGARAPE,2018-12-25,2018,CONSUMADO,1,True
311265,CAPITAO ANDRADE,2018-12-26,2018,TENTADO,2,False
314505,NOVA PORTEIRINHA,2018-12-28,2018,TENTADO,1,False
314520,NOVA SERRANA,2018-12-28,2018,TENTADO,1,False
310630,BELO ORIENTE,2018-12-30,2018,TENTADO,1,False
317050,URUCANIA,2018-12-30,2018,TENTADO,1,False
315780,SANTA LUZIA,2018-12-31,2018,TENTADO,1,False
